211	Guam	UF Territory of Guam / BT Oceania; islands	location
29491	Guanajuato	BT Mexico	location
14782	Guangdong	UF Kwangtung; Kwantung; China (Kwantung) / BT China	location
28759	Guangxi (Zhuang)	UF Kwangi Chuang; China (Kwangsi); Kwangsi; Guangxi Zhuangzu Zizhiqu; Guangxi / BT China	location
640	Guatemala	UF Republic of Guatemala / BT Latin America; Central America	location
262	Guinea	UF Republic of Guinea; Guinea-Conakry / BT Francophone Africa; West Africa	location
652	Guinea-Bissau	UF Republic of Guinea-Bissau; Portuguese Guinea / BT West Africa	location
26512	Guizhou	UF Kweichow; China (Kweichow) / BT China	location
28402	Gujarat	BT India	location
367	Guyana	UF Republic of Guyana; British Guyana; British Guiana / BT South America	location
30637	Hainan	UF Hainan Dao; Hainan Island / BT China	location
760	Haiti	UF Republic of Haiti / BT Caribbean	location
30607	Hamburg	BT Germany	location
28387	Haryana	BT India	location
11191	Hawaii	UF Hawaiian Islands; Sandwich Islands (Pacific Ocean) / SN Use for the group of Hawaiian islands located in the Pacific Ocean;  For the individual island of Hawaii USE Hawaii (island). / BT Pacific Islands	location
616	Heard and McDonald Islands	UF Heard Island and McDonald Islands; Heard & McDonald Islands / BT Oceania	location
28381	Hebei	UF Hopei; China (Hopei) / BT China	location
26359	Heilongjiang	UF Heilungkiang; China (Heilungkiang) / BT China	location
24742	Henan	UF Honan / BT China	location
11362	Hesse	BT Germany	location
26128	Hidalgo	BT Mexico	location
29479	Himachal Pradesh	BT India	location
27352	Himalayan region	UF Himalaya / BT South Asia	location
121	Honduras	UF Republic of Honduras / BT Latin America; Central America	location
202	Hong Kong	UF Hong Kong SAR; Xianggang; Hong Kong Special Administrative Region; Hong Kong Special Administrative Region of China; Hong Kong, China / SN For data dealing with this region before the change of status in July 1997; after the change of status use <37745> / BT China	location
23551	Hubei	UF Hupei; China (Hupei) / BT China	location
25816	Hunan	UF China (Hunan) / BT China	location
64	Hungary	UF Hungarian People's Republic / BT Eastern European region	location
280	Iceland	UF Republic of Iceland / BT Scandinavia	location
7393	Idaho	BT Western States of USA	location
26005	Ile de France	BT France	location
7768	Illinois	BT North Central States of USA	location
511	India	UF Republic of India; IN (ISO 3166); Chennai, Tamil Nadu; Arunachal Pradesh; Lakshadweep; Pondicherry; Chandigarh; Mizoram; Bihar; Meghalaya; Delhi; Dadra and Nagar Haveli; Goa, Daman and Diu; Bengal, West; Kashmir; Manipur; Tripura; Jammu and Kashmir; Nagaland; Punjab, Indian / BT South Asia	location
21517	Indian Ocean	BT oceans	location
11173	Indiana	SN The U.S. state. For the nematode genus use 'Indiana (Nematoda)'. / BT North Central States of USA	location
199	Indonesia	UF Republic of Indonesia; Maluku; Lombok; Sunda Islands; Sunda Islands, Lesser; Java (Indonesia); Moluccas; Malay Archipelago; Madura; Timor, Portuguese; Timur; Flores (Indonesia) / BT South East Asia	location
8794	Iowa	BT North Central States of USA	location
694	Iran	UF Islamic Republic of Iran; Iran Islamic Republic; Iran, Islamic Republic of; Iran (Islamic Republic of) / BT Middle East; Southwestern Asia	location
697	Iraq	UF Republic of Iraq / BT Middle East	location
29815	Irian Jaya	UF Irian Barat; West Irian; West New Guinea / BT Indonesia	location
700	Irish Republic	UF Ireland; Eire; Leinster; Munster; Connacht; Munster (Irish Republic) / BT Western Europe	location
304	Israel	BT Middle East; Mediterranean region	location
25777	Italian Marches	UF Marches (Italy) / BT Italy	location
547	Italy	UF Italian Republic; Molise; Emilia-Romagna; South Tyrol; South Tirol; Valle d'Aosta / BT Mediterranean region	location
18262	Jalisco	BT Mexico	location
1	Jamaica	BT Caribbean	location
142	Japan	UF Kyushu; Honshu; Hokkaido; Shikoku / BT Pacific Islands; East Asia	location
8023	Java	UF Djawa; Jawa / BT Indonesia	location
12485	Jersey	BT United Kingdom	location
21286	Jiangsu	UF Kiangsu; China (Kiangsu) / BT China	location
29962	Jiangxi	UF Kiangsi; China (Kiangsi) / BT China	location
31651	Jilin	UF Kirin; China (Kirin) / BT China	location
130	Jordan	UF Hashemite Kingdom of Jordan / BT Middle East	location
17116	Kalimantan	BT Indonesia; Borneo	location
10480	Kansas	BT North Central States of USA	location
24991	Karnataka	UF Mysore / BT India	location
307	Kazakhstan	UF Kazakh SSR; Kazakstan; Republic of Kazakstan; Republic of Kazakhstan / SN Part of USSR before 1992; for documents dealing with that region before the change of status use <4081>; Part of USSR till 1991; to be used for documents dealing with that region before the change of status; later use <11952> / BT USSR; Central Asia	location
11506	Kentucky	BT South Eastern States (USA)	location
439	Kenya	UF Republic of Kenya / BT East Africa	location
28870	Kerala	BT India	location
187	Kiribati	UF Gilbert Islands; Line Islands; Christmas Island (Pacific Ocean); Ocean Island; Phoenix Islands; Christmas Islands (Pacific); Republic of Kiribati; Kiritimati (Christmas Island); Christmas Island (Line Islands); Christmas Island (Pacific) / BT Pacific Islands	location
316	Kuwait	UF State of Kuwait / BT Middle East	location
250	Kyrgyzstan	UF Kirghizia; Republic of Kyrgyzstan; Kirgiz SSR; Kirgiz Soviet Socialist Republic; Kyrgyz Republic / SN Part of USSR before 1992; for documents dealing with that region before the change of status use <4106>; Part of USSR till 1991; to be used for documents dealing with that region before the change of status; later use <33243> / BT USSR; Central Asia	location
31819	La Rioja	BT Argentina	location
30934	Lake Tanganyika	BT Zambia; Democratic Republic of the Congo; Burundi; Tanzania; lakes	location
13366	Languedoc Roussillon	BT France	location
532	Laos	UF Lao; Lao People's Democratic Republic; Lao Peoples Democratic Republic (PDR) / BT South East Asia	location
32731	Lara	BT Venezuela	location
4753	Latin America	UF America, Latin / DF Collectively, those countries in the Western Hemisphere in which  the predominant language is a Romance (French, Spanish, Portuguese) language. / BT Americas	location
17272	Latium	UF Lazio / BT Italy	location
34	Latvia	UF Latvian SSR; Latvian Soviet Socialist Republic / SN Part of USSR before 1992; for documents dealing with that region before the change of status use <4224>; Part of USSR till 1991; to be used for documents dealing with that region before the change of status; later use <12103> / BT USSR	location
625	Lebanon	UF Lebanese Republic; Lebanese / BT Middle East; Mediterranean region	location
646	Lesotho	UF Kingdom of Lesotho; Basutoland / BT Southern Africa	location
30937	Liaoning	UF China (Liaoning) / BT China	location
337	Liberia	UF Republic of Liberia / BT West Africa	location
724	Libya	UF Socialist People's Libyan Arab Jama; Libyan Arab Jamahiriya; Libyan Arab Republic / SN On 16 September 2011, the National Transitional Council requested, via the Protocol and Liaison Service, that the form "Libya", previously not in use at the UN, replace both the earlier official and short forms (respectively, the Socialist People's Libyan Arab Jamahiriya and Libyan Arab Jamahiriya (the)). (Source: UNTERM, 2011) / BT North Africa; Mediterranean region	location
721	Liechtenstein	UF Principality of Liechtenstein / BT Western Europe	location
26737	Liguria	BT Italy	location
29869	Limousin	BT France	location
313	Lithuania	UF Lithuanian SSR; Lithuanian Soviet Socialist Republic / SN Part of USSR before 1992; for documents dealing with that region before the change of status use <4390>; Part of USSR till 1991; to be used for documents dealing with that region before the change of status; later use <12204> / BT USSR	location
12949	Lombardy	BT Italy	location
21661	Lorraine	BT France	location
6898	Louisiana	BT South Eastern States (USA)	location
30520	Lower Normandy	BT France	location
7282	Lower Saxony	UF Niedersachsen / BT Germany	location
751	Luxembourg	UF Grand Duchy of Luxembourg / BT Western Europe	location
583	Macau	UF Macao / SN Use for materials covering the period prior to 20 December 1999, the date when the territory of Macau, then under Portuguese administration, was returned to China and became the Macao Special Administrative Region. (Source: UNBIS Thesaurus, 2010); after the change of status use: Macao (China). / BT East Asia	location
742	Madagascar	UF Democratic Republic of Madagascar; Malagasy Republic / BT Francophone Africa; East Africa	location
